TIME,STD,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:30:53,IST,all,25.82,0,8.86,28.1,0,0.51,0,0,0,36.71
10:30:54,IST,all,20.66,0,6.12,45.15,0,1.28,0,0,0,26.79
10:30:55,IST,all,17.6,1.02,4.59,26.79,0,0.77,0,0,0,49.23
10:30:56,IST,all,13.01,0,4.59,53.32,0,0.77,0,0,0,28.32
10:30:57,IST,all,29.7,0.25,5.84,32.74,0,0.51,0,0,0,30.96
10:30:58,IST,all,44.3,0,7.59,19.24,0,0.25,0,0,0,28.61
10:30:59,IST,all,41.22,1.02,6.36,20.36,0,1.53,0,0,0,29.52
10:31:00,IST,all,27.18,0.25,3.74,25.69,0,0.75,0,0,0,42.39
10:31:01,IST,all,12.13,0,2.72,30.94,0,0.5,0,0,0,53.71
10:31:02,IST,all,7.94,0,3.47,20.35,0,0.5,0,0,0,67.74
10:31:03,IST,all,28.33,0,3.94,20.2,0,1.72,0,0,0,45.81
10:31:04,IST,all,17.2,0,3.44,10.07,0,2.21,0,0,0,67.08
10:31:05,IST,all,14.78,0,4.43,19.7,0,0.99,0,0,0,60.1
10:31:06,IST,all,36.73,0,5.61,3.57,0,0.77,0,0,0,53.32
10:31:07,IST,all,40.64,0,12.32,1.23,0,0.49,0,0,0,45.32
10:31:08,IST,all,20.25,0,7,0,0,0.5,0,0,0,72.25
10:31:09,IST,all,26.53,0,9.69,8.42,0,1.02,0,0,0,54.34
10:31:10,IST,all,32.66,0,11.31,3.52,0,0.25,0,0,0,52.26
10:31:11,IST,all,36.39,0,9.65,9.16,0,0.25,0,0,0,44.55
10:31:12,IST,all,25.81,0,7.52,27.57,0,0.5,0,0,0,38.6
10:31:13,IST,all,18.27,0,5.43,15.56,0,0.99,0,0,0,59.75
10:31:14,IST,all,18.18,0,6.39,0,0,1.23,0,0,0,74.2
10:31:15,IST,all,19.31,0,7.18,0,0,0.74,0,0,0,72.77
10:31:16,IST,all,23.5,0,9,0,0,0.25,0,0,0,67.25
10:31:17,IST,all,20.49,0,8.15,0,0,0.74,0,0,0,70.62
10:31:18,IST,all,23.87,0,11.06,5.53,0,0.25,0,0,0,59.3
10:31:19,IST,all,31.23,0,6.55,0,0,0.76,0,0,0,61.46
10:31:20,IST,all,30.65,0,9.3,7.79,0,0.5,0,0,0,51.76
10:31:21,IST,all,25.38,0,7.29,1.01,0,0.5,0,0,0,65.83
10:31:22,IST,all,21.09,0,5.96,4.71,0,0.99,0,0,0,67.25
10:31:23,IST,all,19.31,0,6.19,8.91,0,0.99,0,0,0,64.6
10:31:24,IST,all,16.41,0,6.31,0,0,1.01,0,0,0,76.26
10:31:25,IST,all,19.06,0,5.69,0,0,1.49,0,0,0,73.76
10:31:26,IST,all,16.46,0,5.74,0,0,1.75,0,0,0,76.06
10:31:27,IST,all,19.24,0,6.58,5.06,0,1.52,0,0,0,67.59
10:31:28,IST,all,19.85,0,6.62,7.84,0,0.98,0,0,0,64.71
10:31:29,IST,all,18.61,0,5.71,18.11,0,1.24,0,0,0,56.33
10:31:30,IST,all,17.63,0,6.55,15.62,0,0.5,0,0,0,59.7
10:31:31,IST,all,18.56,0,6.93,15.35,0,0.99,0,0,0,58.17
10:31:32,IST,all,18.55,0,7.02,21.3,0,0.5,0,0,0,52.63
10:31:33,IST,all,18.78,0,5.08,20.05,0,0.76,0,0,0,55.33
10:31:34,IST,all,16.75,0,7.64,0,0,1.97,0,0,0,73.65
10:31:35,IST,all,24.57,0,6.7,0,0,1.24,0,0,0,67.49
10:31:36,IST,all,17.29,0,5.76,0,0,1,0,0,0,75.94
10:31:37,IST,all,16.87,0,5.71,0,0,1.49,0,0,0,75.93
10:31:38,IST,all,17.91,0,4.98,0.5,0,0.75,0,0,0,75.87
10:31:39,IST,all,17.6,0,6.11,4.89,0,1.71,0,0,0,69.68
10:31:40,IST,all,15.1,0,7.18,0,0,1.49,0,0,0,76.24
10:31:41,IST,all,17.75,0,5.5,0,0,0.75,0,0,0,76
10:31:42,IST,all,17.25,0,5.75,0.5,0,1,0,0,0,75.5
10:31:43,IST,all,17.04,0,5.26,11.03,0,0.75,0,0,0,65.91
10:31:44,IST,all,24.13,0,6.22,16.92,0,0.75,0,0,0,51.99
10:31:45,IST,all,23.88,0,8.21,7.46,0,0.75,0,0,0,59.7
10:31:46,IST,all,20.39,0,6.63,0,0,0.98,0,0,0,71.99
10:31:47,IST,all,24.88,0,8.71,0,0,1.24,0,0,0,65.17
10:31:48,IST,all,17.79,0,6.02,12.53,0,1.5,0,0,0,62.16
10:31:49,IST,all,20.83,0,6.86,2.7,0,1.23,0,0,0,68.38
10:31:50,IST,all,19.7,0,7.39,1.97,0,0.74,0,0,0,70.2
10:31:51,IST,all,18,0,6,0,0,1.25,0,0,0,74.75
10:31:52,IST,all,17.91,0,7.96,10.95,0,1,0,0,0,62.19
10:31:53,IST,all,20,0,5.43,0,0,1.23,0,0,0,73.33
10:31:54,IST,all,14.79,0,6.02,0.25,0,1.25,0,0,0,77.69
